City,Rate,County
Brea*,0.07750,Orange
Brents Junction,0.09500,Los Angeles
Brentwood (Los Angeles*),0.09500,Los Angeles
Brentwood*,0.08750,Contra Costa
Briceland,0.07750,Humboldt
Bridgeport,0.07750,Mariposa
Bridgeport,0.07250,Mono
Bridgeville,0.07750,Humboldt
Brisbane*,0.09375,San Mateo
Broderick (West Sacramento*),0.08250,Yolo
Brookdale,0.09000,Santa Cruz
Brookhurst Center,0.07750,Orange
Brooks,0.07250,Yolo
Browns Valley,0.08250,Yuba
Brownsville,0.08250,Yuba
Bryn Mawr,0.07750,San Bernardino
Bryte (West Sacramento*),0.08250,Yolo
Buellton*,0.07750,Santa Barbara
Buena Park*,0.07750,Orange
Burbank*,0.10250,Los Angeles
Burlingame*,0.09625,San Mateo
Burney,0.07250,Shasta
Burnt Ranch,0.07250,Trinity
Burrel,0.07975,Fresno
Burson,0.07250,Calaveras
Butte City,0.07250,Glenn
Butte Meadows,0.07250,Butte
Buttonwillow,0.07250,Kern
Byron,0.08750,Contra Costa
Cabazon,0.07750,Riverside
Cabrillo,0.09500,Los Angeles
Cadiz,0.07750,San Bernardino
Calabasas Highlands,0.09500,Los Angeles
Calabasas Park,0.09500,Los Angeles
Calabasas*,0.09500,Los Angeles
Calexico*,0.08250,Imperial
Caliente,0.07250,Kern
California City*,0.07250,Kern
California Hot Springs,0.07750,Tulare
California Valley,0.07250,San Luis Obispo
Calimesa*,0.07750,Riverside
Calipatria*,0.07750,Imperial
Calistoga*,0.07750,Napa
Callahan,0.07250,Siskiyou
Calpella,0.07875,Mendocino
Calpine,0.07250,Sierra
Calwa,0.07975,Fresno
Camarillo*,0.07250,Ventura
Cambria,0.07250,San Luis Obispo
Cambrian Park,0.09125,Santa Clara
Cameron Park,0.07250,El Dorado
Camino,0.07250,El Dorado
Camp Beale,0.08250,Yuba
Camp Connell,0.07250,Calaveras
Camp Curry,0.07750,Mariposa
Camp Kaweah,0.07750,Tulare
Camp Meeker,0.08500,Sonoma
Camp Nelson,0.07750,Tulare
Camp Pendleton,0.07750,San Diego
Camp Roberts,0.07750,Monterey
Campbell*,0.09375,Santa Clara
Campo,0.07750,San Diego
Campo Seco,0.07250,Calaveras
Camptonville,0.08250,Yuba
Canby,0.07250,Modoc
Canoga Annex,0.09500,Los Angeles
Canoga Park (Los Angeles*),0.09500,Los Angeles
Cantil,0.07250,Kern
Cantua Creek,0.07975,Fresno
Canyon,0.08750,Contra Costa
Canyon Country (Santa Clarita*),0.09500,Los Angeles
Canyon Lake*,0.07750,Riverside
Canyondam,0.07250,Plumas
Capay,0.07250,Yolo
Capistrano Beach (Dana Point*),0.07750,Orange
Capitola*,0.09000,Santa Cruz
Cardiff By The Sea (Encinitas*),0.07750,San Diego
Cardwell,0.07975,Fresno
Carlotta,0.07750,Humboldt
Carlsbad*,0.07750,San Diego
Carmel Rancho,0.07750,Monterey
Carmel Valley,0.07750,Monterey
Carmel*,0.09250,Monterey
Carmichael,0.07750,Sacramento
Carnelian Bay,0.07250,Placer
Carpinteria*,0.09000,Santa Barbara
Carson*,0.10250,Los Angeles
Cartago,0.07750,Inyo
Caruthers,0.07975,Fresno
Casitas Springs,0.07250,Ventura
Casmalia,0.07750,Santa Barbara
Caspar,0.07875,Mendocino
Cassel,0.07250,Shasta
Castaic,0.09500,Los Angeles
Castella,0.07250,Shasta
Castle A.F.B.,0.07750,Merced
Castro Valley,0.10250,Alameda
Castroville,0.07750,Monterey
Cathedral City*,0.08750,Riverside
Catheys Valley,0.07750,Mariposa
Cayucos,0.07250,San Luis Obispo
Cazadero,0.08500,Sonoma
Cecilville,0.07250,Siskiyou
Cedar,0.09500,Los Angeles
Cedar Crest,0.07975,Fresno
Cedar Glen,0.07750,San Bernardino
Cedar Ridge,0.07500,Nevada
Cedarpines Park,0.07750,San Bernardino
Cedarville,0.07250,Modoc
Central Valley,0.07250,Shasta
Century City (Los Angeles*),0.09500,Los Angeles
Ceres*,0.08375,Stanislaus
Cerritos*,0.09500,Los Angeles
Challenge,0.08250,Yuba
Chambers Lodge,0.07250,Placer
Charter Oak,0.09500,Los Angeles
Chatsworth (Los Angeles*),0.09500,Los Angeles
Cherry Valley,0.07750,Riverside
Chester,0.07250,Plumas
Chicago Park,0.07500,Nevada
Chico*,0.07250,Butte
Chilcoot,0.07250,Plumas
China Lake NWC (Ridgecrest),0.08250,Kern
Chinese Camp,0.07250,Tuolumne
Chino Hills*,0.07750,San Bernardino
